<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,23/10/18,13:29,110720.0,110790.0,110710.0,110770.0,355
SPFB.RTS-12.18,1,23/10/18,13:30,110760.0,110810.0,110730.0,110760.0,226
SPFB.RTS-12.18,1,23/10/18,13:31,110760.0,110810.0,110620.0,110670.0,956
SPFB.RTS-12.18,1,23/10/18,13:32,110660.0,110680.0,110600.0,110650.0,757
SPFB.RTS-12.18,1,23/10/18,13:33,110650.0,110660.0,110600.0,110650.0,273
SPFB.RTS-12.18,1,23/10/18,13:34,110650.0,110670.0,110550.0,110560.0,745
SPFB.RTS-12.18,1,23/10/18,13:35,110560.0,110580.0,110510.0,110570.0,983
SPFB.RTS-12.18,1,23/10/18,13:36,110570.0,110650.0,110570.0,110620.0,504
SPFB.RTS-12.18,1,23/10/18,13:37,110620.0,110620.0,110560.0,110620.0,432
SPFB.RTS-12.18,1,23/10/18,13:38,110630.0,110700.0,110600.0,110700.0,675
SPFB.RTS-12.18,1,23/10/18,13:39,110690.0,110710.0,110630.0,110660.0,397
SPFB.RTS-12.18,1,23/10/18,13:40,110660.0,110690.0,110660.0,110670.0,229
SPFB.RTS-12.18,1,23/10/18,13:41,110680.0,110700.0,110610.0,110640.0,440
SPFB.RTS-12.18,1,23/10/18,13:42,110650.0,110650.0,110620.0,110630.0,216
SPFB.RTS-12.18,1,23/10/18,13:43,110620.0,110640.0,110590.0,110640.0,454
SPFB.RTS-12.18,1,23/10/18,13:44,110630.0,110740.0,110630.0,110700.0,415
SPFB.RTS-12.18,1,23/10/18,13:45,110700.0,110720.0,110660.0,110670.0,87
SPFB.RTS-12.18,1,23/10/18,13:46,110660.0,110710.0,110620.0,110690.0,325
SPFB.RTS-12.18,1,23/10/18,13:47,110690.0,110700.0,110670.0,110670.0,104
SPFB.RTS-12.18,1,23/10/18,13:48,110660.0,110690.0,110660.0,110660.0,88
SPFB.RTS-12.18,1,23/10/18,13:49,110650.0,110690.0,110560.0,110560.0,538
SPFB.RTS-12.18,1,23/10/18,13:50,110560.0,110620.0,110560.0,110600.0,208
SPFB.RTS-12.18,1,23/10/18,13:51,110600.0,110670.0,110590.0,110630.0,154
SPFB.RTS-12.18,1,23/10/18,13:52,110630.0,110690.0,110550.0,110630.0,849
SPFB.RTS-12.18,1,23/10/18,13:53,110630.0,110690.0,110580.0,110650.0,612
SPFB.RTS-12.18,1,23/10/18,13:54,110650.0,110680.0,110620.0,110630.0,481
SPFB.RTS-12.18,1,23/10/18,13:55,110620.0,110740.0,110620.0,110680.0,888
SPFB.RTS-12.18,1,23/10/18,13:56,110670.0,110670.0,110610.0,110620.0,396
SPFB.RTS-12.18,1,23/10/18,13:57,110620.0,110690.0,110590.0,110660.0,376
SPFB.RTS-12.18,1,23/10/18,13:58,110660.0,110690.0,110600.0,110650.0,729
SPFB.RTS-12.18,1,23/10/18,13:59,110650.0,110650.0,110580.0,110630.0,400
SPFB.RTS-12.18,1,23/10/18,14:00,110630.0,110660.0,110610.0,110640.0,192
SPFB.RTS-12.18,1,23/10/18,14:06,110640.0,110840.0,110630.0,110830.0,1740
SPFB.RTS-12.18,1,23/10/18,14:07,110830.0,110880.0,110780.0,110850.0,1464
SPFB.RTS-12.18,1,23/10/18,14:08,110840.0,110850.0,110740.0,110740.0,716
SPFB.RTS-12.18,1,23/10/18,14:09,110740.0,110810.0,110740.0,110810.0,431
SPFB.RTS-12.18,1,23/10/18,14:10,110800.0,110880.0,110770.0,110860.0,567
SPFB.RTS-12.18,1,23/10/18,14:11,110850.0,110930.0,110850.0,110850.0,808
SPFB.RTS-12.18,1,23/10/18,14:12,110860.0,110890.0,110810.0,110890.0,358
SPFB.RTS-12.18,1,23/10/18,14:13,110880.0,110880.0,110850.0,110850.0,219
SPFB.RTS-12.18,1,23/10/18,14:14,110850.0,110900.0,110840.0,110840.0,396
SPFB.RTS-12.18,1,23/10/18,14:15,110860.0,110980.0,110860.0,110980.0,596
SPFB.RTS-12.18,1,23/10/18,14:16,110980.0,111000.0,110950.0,110970.0,1090
SPFB.RTS-12.18,1,23/10/18,14:17,110980.0,111000.0,110910.0,110940.0,565
SPFB.RTS-12.18,1,23/10/18,14:18,110940.0,111000.0,110930.0,111000.0,590
SPFB.RTS-12.18,1,23/10/18,14:19,110990.0,111120.0,110980.0,111050.0,2133
SPFB.RTS-12.18,1,23/10/18,14:20,111060.0,111130.0,111030.0,111100.0,634
SPFB.RTS-12.18,1,23/10/18,14:21,111100.0,111310.0,111090.0,111260.0,2112
SPFB.RTS-12.18,1,23/10/18,14:22,111260.0,111290.0,111200.0,111220.0,1273
SPFB.RTS-12.18,1,23/10/18,14:23,111220.0,111270.0,111220.0,111220.0,745
SPFB.RTS-12.18,1,23/10/18,14:24,111220.0,111230.0,111160.0,111170.0,876
SPFB.RTS-12.18,1,23/10/18,14:25,111170.0,111220.0,111140.0,111180.0,666
SPFB.RTS-12.18,1,23/10/18,14:26,111200.0,111210.0,111130.0,111170.0,581
SPFB.RTS-12.18,1,23/10/18,14:27,111170.0,111190.0,111100.0,111110.0,649
SPFB.RTS-12.18,1,23/10/18,14:28,111130.0,111180.0,111130.0,111160.0,370
SPFB.RTS-12.18,1,23/10/18,14:29,111160.0,111210.0,111150.0,111180.0,239
SPFB.RTS-12.18,1,23/10/18,14:30,111200.0,111330.0,111200.0,111290.0,1530
SPFB.RTS-12.18,1,23/10/18,14:31,111290.0,111320.0,111220.0,111230.0,722
SPFB.RTS-12.18,1,23/10/18,14:32,111220.0,111270.0,111200.0,111250.0,576
SPFB.RTS-12.18,1,23/10/18,14:33,111250.0,111280.0,111230.0,111260.0,349
SPFB.RTS-12.18,1,23/10/18,14:34,111270.0,111310.0,111230.0,111240.0,709
SPFB.RTS-12.18,1,23/10/18,14:35,111250.0,111260.0,111170.0,111200.0,692
SPFB.RTS-12.18,1,23/10/18,14:36,111200.0,111220.0,111090.0,111120.0,1082
SPFB.RTS-12.18,1,23/10/18,14:37,111110.0,111140.0,111090.0,111110.0,648
SPFB.RTS-12.18,1,23/10/18,14:38,111120.0,111150.0,111100.0,111120.0,329
SPFB.RTS-12.18,1,23/10/18,14:39,111120.0,111160.0,111090.0,111100.0,431
SPFB.RTS-12.18,1,23/10/18,14:40,111090.0,111100.0,110990.0,111020.0,1718
SPFB.RTS-12.18,1,23/10/18,14:41,111030.0,111100.0,111020.0,111070.0,811
SPFB.RTS-12.18,1,23/10/18,14:42,111070.0,111120.0,111020.0,111020.0,519
SPFB.RTS-12.18,1,23/10/18,14:43,111020.0,111030.0,110880.0,110910.0,1567
SPFB.RTS-12.18,1,23/10/18,14:44,110910.0,110950.0,110870.0,110930.0,888
SPFB.RTS-12.18,1,23/10/18,14:45,110930.0,110950.0,110870.0,110870.0,637
SPFB.RTS-12.18,1,23/10/18,14:46,110870.0,110920.0,110760.0,110770.0,1124
SPFB.RTS-12.18,1,23/10/18,14:47,110770.0,110860.0,110740.0,110810.0,1155
SPFB.RTS-12.18,1,23/10/18,14:48,110810.0,110900.0,110790.0,110900.0,516
SPFB.RTS-12.18,1,23/10/18,14:49,110890.0,110920.0,110870.0,110870.0,689
SPFB.RTS-12.18,1,23/10/18,14:50,110890.0,110950.0,110860.0,110930.0,491
SPFB.RTS-12.18,1,23/10/18,14:51,110920.0,110970.0,110920.0,110960.0,643
SPFB.RTS-12.18,1,23/10/18,14:52,110940.0,110990.0,110930.0,110990.0,581
SPFB.RTS-12.18,1,23/10/18,14:53,110990.0,110990.0,110890.0,110930.0,279
SPFB.RTS-12.18,1,23/10/18,14:54,110930.0,111080.0,110920.0,111080.0,1045
SPFB.RTS-12.18,1,23/10/18,14:55,111070.0,111170.0,111050.0,111160.0,1325
SPFB.RTS-12.18,1,23/10/18,14:56,111150.0,111170.0,111100.0,111120.0,620
SPFB.RTS-12.18,1,23/10/18,14:57,111110.0,111140.0,111080.0,111120.0,479
SPFB.RTS-12.18,1,23/10/18,14:58,111110.0,111190.0,111090.0,111130.0,720
SPFB.RTS-12.18,1,23/10/18,14:59,111150.0,111170.0,111120.0,111150.0,206
SPFB.RTS-12.18,1,23/10/18,15:00,111140.0,111150.0,111110.0,111140.0,146
SPFB.RTS-12.18,1,23/10/18,15:01,111130.0,111220.0,111120.0,111160.0,817
SPFB.RTS-12.18,1,23/10/18,15:02,111170.0,111260.0,111170.0,111250.0,498
SPFB.RTS-12.18,1,23/10/18,15:03,111250.0,111290.0,111230.0,111250.0,410
SPFB.RTS-12.18,1,23/10/18,15:04,111250.0,111280.0,111190.0,111200.0,532
SPFB.RTS-12.18,1,23/10/18,15:05,111210.0,111230.0,111130.0,111190.0,512
SPFB.RTS-12.18,1,23/10/18,15:06,111190.0,111240.0,111180.0,111240.0,487
SPFB.RTS-12.18,1,23/10/18,15:07,111240.0,111320.0,111240.0,111270.0,893
SPFB.RTS-12.18,1,23/10/18,15:08,111270.0,111390.0,111250.0,111370.0,1537
SPFB.RTS-12.18,1,23/10/18,15:09,111370.0,111370.0,111260.0,111270.0,629
SPFB.RTS-12.18,1,23/10/18,15:10,111280.0,111300.0,111260.0,111280.0,294
SPFB.RTS-12.18,1,23/10/18,15:11,111270.0,111360.0,111250.0,111350.0,461
SPFB.RTS-12.18,1,23/10/18,15:12,111330.0,111350.0,111280.0,111290.0,306
SPFB.RTS-12.18,1,23/10/18,15:13,111300.0,111320.0,111200.0,111220.0,536
SPFB.RTS-12.18,1,23/10/18,15:14,111220.0,111240.0,111150.0,111160.0,811
SPFB.RTS-12.18,1,23/10/18,15:15,111170.0,111210.0,111010.0,111090.0,1787
SPFB.RTS-12.18,1,23/10/18,15:16,111090.0,111240.0,111030.0,111210.0,1043
SPFB.RTS-12.18,1,23/10/18,15:17,111210.0,111210.0,111170.0,111200.0,277
SPFB.RTS-12.18,1,23/10/18,15:18,111200.0,111240.0,111170.0,111230.0,527
SPFB.RTS-12.18,1,23/10/18,15:19,111220.0,111240.0,111200.0,111240.0,263
SPFB.RTS-12.18,1,23/10/18,15:20,111240.0,111350.0,111220.0,111340.0,992
SPFB.RTS-12.18,1,23/10/18,15:21,111340.0,111350.0,111290.0,111310.0,688
SPFB.RTS-12.18,1,23/10/18,15:22,111310.0,111330.0,111260.0,111280.0,247
SPFB.RTS-12.18,1,23/10/18,15:23,111280.0,111290.0,111240.0,111270.0,181
SPFB.RTS-12.18,1,23/10/18,15:24,111270.0,111300.0,111260.0,111270.0,206
SPFB.RTS-12.18,1,23/10/18,15:25,111270.0,111320.0,111250.0,111310.0,217
SPFB.RTS-12.18,1,23/10/18,15:26,111300.0,111370.0,111300.0,111330.0,479
SPFB.RTS-12.18,1,23/10/18,15:27,111330.0,111350.0,111220.0,111220.0,489
SPFB.RTS-12.18,1,23/10/18,15:28,111220.0,111240.0,111150.0,111210.0,578
SPFB.RTS-12.18,1,23/10/18,15:29,111220.0,111230.0,111160.0,111200.0,416
SPFB.RTS-12.18,1,23/10/18,15:30,111200.0,111260.0,111190.0,111250.0,201
